<fct>,total_events_mean,total_events_sd,cells_count_mean,cells_count_sd,cells_pct_total_mean,cells_pct_total_sd,est_cells_total_mean,est_cells_total_sd,enrichment_mean,enrichment_sd
Post,456902.375,268032.5487947513,82731.875,51401.76873954408,18.7,4.551922670696417,827318.75,514017.6873954408,29.515711911271183,28.051312526616005
Pre,428817.875,86967.60802643295,3835.25,1808.2692395926947,0.905,0.4962142394455962,421877.5,198909.61635519643,NA,NA
