<chr>,cells_pct_mean,cells_pct_sd,cells_count_mean,cells_count_sd,cells_vaible_count_mean,cells_vaible_count_sd,cells_viable_pct_mean,cells_viable_pct_sd,oligodendrocyte_count_mean,oligodendrocyte_count_sd,oligodendrocyte_pct_mean,oligodendrocyte_pct_sd,microglia_count_mean,microglia_count_sd,microglia_pct_mean,microglia_pct_sd,astrocyte_count_mean,astrocyte_count_sd,astrocyte_pct_mean,astrocyte_pct_sd,neurons_hi_count_mean,neurons_hi_count_sd,neurons_hi_pct_mean,neurons_hi_pct_sd,neurons_lo_count_mean,neurons_lo_count_sd,neurons_lo_pct_mean,neurons_lo_pct_sd
FACS,6.2459999999999996,3.0785678488543984,22757.6,5899.543397585952,17169.6,4139.020874554754,75.82000000000001,2.0129580224137826,2867.6,1589.4671434163085,14.756,8.458645281603905,1547.6,862.7733190125898,9.028,4.753627036274513,2867.6,1589.4671434163085,15.768,8.557167755747225,3830.2,3161.000110724452,22.466,16.40197183267914,463.4,607.9805095560218,3.844,6.251610192582388
MACS_glial,7.2,3.969236702440408,33023.166666666664,32447.541240695984,31744.666666666668,31097.61288373541,96.25,1.1326958991715272,4250,3916.0700708746263,14.85,3.642389325703666,5325,8111.979363879078,11.98,6.935182766156924,4378.833333333333,4541.579435247903,13.06,3.3897492532634326,1641.3333333333333,2006.1229939030825,4.165,1.5730321039317665,661,733.6773132651712,2.0733333333333333,0.5787112118031467
MACS_neuronal,37.8975,26.267253785437322,65271.375,57320.685712520666,64322.375,56458.10000582606,98.125,1.7400738900567243,7506.625,13139.126432556857,11.9675,13.341870451434355,956,2165.027086600601,1.114,1.6263080010519886,426.375,1062.6301516923536,0.40665875,0.7112880813694367,37726.625,37111.66776457045,58.298750000000005,31.938713829323632,5601.75,4092.510363020303,10.77125,5.558688019667951
pre_sort,10.14,4.590328341819819,37208.375,42777.578128659545,36506.75,41975.07993611039,98.3625,0.9425459443140447,5484.875,3778.27233524606,23.34625,9.91662231882841,5290.75,5206.594547851243,13.62875,7.871549924524757,2780.25,2717.4394328905605,8.14,2.9840289159839877,12254.75,25606.38449265562,15.7975,19.56904826505367,921.5,1236.9181749123793,2.17,0.6767569726275452
